,Run 800 Meters; 40 sdhp 24/16 KB?s; 40 Walking Lunges with Kettlebells 24/16; 40 knees to elbows; Run 800 Meters
29,"Workout of the Day; Four sets of:; In five minutes, row 500 meters, and then complete as many rounds and reps as possible of the following couplet:; 10 Kettlebell Swings (24/16 kg); 10 Push-Ups; Rest exactly 5 minutes between sets"
30,"A.; Every four minutes, for 16 minutes (4 sets):; Weighted Pull-Ups x 1-2 reps; At the top of the next minute?; 30 Seconds of Strict Pull-Ups for Max Reps; At the top of the next minute?; 20 Walking Lunges with Overhead Plate Carry (45/25 lbs); B.; 10 Renegade Rows; 20 Calorie Row on Concept 2; 30 Kettlebell Swings (32/24 kg); 400 Meter Run"
31,Three sets for max reps of:; 60 seconds of Wall Ball Shots (20/14 lbs); 60 seconds of Push Press (75/55 lbs); 60 seconds of Kettlebell Swings (24/16 kg); 60 seconds of Rowing for Calories; Rest 60 seconds
32,"A.; Every minute, on the minute, for 12 minutes:; Minute 1 ? Supine Ring Rows x 8 reps @ 2111; Minute 2 ? L-Seated DB Press x 8 reps @ 2011; Minute 3 ? Tempo Push-Ups x 10 reps @ 1111; B.; Every minute, on the minute, for 21 minutes:; Minute 1 ? 10-15 Kettlebell Swings; Minute 2 ? 8 Burpee Box Jump-Overs; Minute 3 ? 10 Toes to Bar"
33,"Workout of the Day; A.; Every 2 minutes, for 30 minutes (5 sets of each):; Station 1 ? Deadlift x 6-8 reps; (build up, using the first 2-3 sets to get to a heavy working weight); Station 2 ? Turkish Get-Ups x 2 reps each arm; (pause for 1 full second in each position of the get-up and focus on good positioning and stability); Station 3 ? 45-60 second Nose-to-Wall Handstand Hold; B.; In teams of two, with partners alternating movements, complete as many rounds and reps as possible in 10 minutes of:; Row 250 Meters; 30 Kettlebell Swings (24/16 kg); 10 Stationary Dips or 15 Push-Ups; E.g., Partner A rows 250 meters, Partner B does 30 KB Swings, Partner A performs dips or push-ups, Partner B rows 250 meters, etc"
34,"Workout of the Day; A.; Four sets of:; Barbell or Dumbbell Push Press x 6-8 reps; Rest 45 seconds; Single-Leg Box Step-Ups x 6-8 reps each @ 3011; (slowly descend from top of the box and gently tap your heal to the ground before ascending); Rest 45 seconds; Single-Arm Dumbbell Row x 8-10 reps each arm @ 2110; Rest 45 seconds; B.; Three rounds for time of:; 6 Dumbbell Man-Makers; (push-up, row left, row right, power clean, push press); 9 Strict Handstand Push-Ups; 12 Burpees"
35,A.; Three sets not for time of:; L- Pull-Ups x 5-7 reps; Kettlebell Clean and Press x 5-7 reps each arm; Row Sprint Start to 150 Meters; B.; Complete as many rounds and reps as possible in 7 minutes of:; 30 Wall Ball Shots (20/14 lbs); 20 Box Jumps (24?/20?); 10 Toes to Bar
36,"Workout of the Day; A.; Three sets, not for time, of:; Bottoms Up Kettlebell Carry x 20 meters each arm; 30-60 seconds Upside Down Work (HSPU, Negatives, Holds, Walks, etc); Box Jumps x 12-15 reps; B.; Partners alternate to complete 10 sets each of:; 15 Heavy Kettlebell Swings; 100 Meter Run"
37,Workout of the Day; A.; Three sets of:; Dumbbell Walking Lunge x 20 steps; Rest 60 seconds; Pull-Ups x 6-8 reps @ 2110; Rest 60 seconds; B.; Complete as many rounds and reps as possible in 10 minutes of:; 5 Pull-Ups; 15 Push Press; 30 Kettlebell Swings; C.; Optional Finisher ? For time:; 500 Meter Row
38,"A little holiday treat, Invictus style. Perform the movements to the tune of ?12 Days of Christmas?; 1 ? 100 Meter Run; 2 ? Burpee Box Jump Overs; 3 ? Push-Ups; 4 ? Toes to Bar; 5 ? Burpees; 6 ? Dumbbell Grounds to Overhead; 7 ? Push-ups; 8 ? JumpingLunges; 9 ? Kettlebell Swings; 10 ? Shoulder to Overhead; 11 ? Goblet Squats; 12 ? Pull-Ups"
39,"A.; Three sets of:; Dumbbell or Barbell Push Press x 6-8 reps; Rest 60 seconds; Single-Leg Deadlift x 6-8 reps each leg @ 3011; Rest 60 seconds; Double-Under Practice x 60 seconds; Rest 60 seconds; B.; In teams of two, alternate sets to complete four each of:; 10 Dumbbell Ground to Overhead; 10 Box Jump Overs; 400 Meter Run"
40,"A.; Four sets of:; Back Squat 8-10 reps; Rest 45 seconds; Plank to Elbows x 6-8 reps; Rest 45 seconds; Strict Pull-Ups x 6-8 reps @ 2110; Rest 45 seconds; B.; Against a 5 minute running clock, complete:; 500 Meter Row; 50 Kettlebell Swings; Burpees x Max reps; Rest 5 minutes between sets, and complete a total of two sets"
41,"A.; Four sets of:; Pause Front Squats x 6 reps @ 31X1; Rest 3 minutes; All four sets should be heavy, working sets.; B.; Against a 10-minute running clock, complete the following:; Row 1000 Meters; immediately followed by?; As many rounds and reps as possible of:; 30 Wall Ball Shots; 20 Mountain Climbers; 10 Push-Ups"
42,"A.; Four sets of:; Romanian Deadlift x 6-8 reps @ 3011; Rest 45 seconds; Turkish Get-Ups x 2 reps each arm; Rest 45 seconds; Strict Pull-Ups x 4-6 reps @ 2111; Rest 45 seconds; B.; Complete rounds of 21, 15 and 9 reps for time of:; Kettlebell Swings; Push-Ups"
43,"A.; Every 2 minutes, for 20 minutes (10 sets, 5 of each):; Odd Sets ? Deadlift x 6 reps @ 3111; Even Sets ? Dumbbell Bench Press x 6 reps @ 2011; B.; Complete as many rounds and reps as possible in 10 minutes of:; 5 Strict Pull-Ups; 10 Burpees; 15 Russian Kettlebell Swings"
44,"A.; Every 2 minutes, for 16 minutes (8 sets):; Strict Shoulder Press x 2-3 reps; Suggested loading per set (by %): 60, 70, 80, 85+, 85+, 85+, 85+, 85+; B.; Every minute, on the minute, for 21 minutes:; Minute 1 ? Russian Kettlebell Swings x 15 reps; Minute 2 ? Push Press x 15 reps; (choose a weight that will challenge you in sets 4 & 5); Minute 3 ? Double-Unders x 40-50 reps"
45,"Workout of the Day; A.; Every 10 minutes, for 40 minutes (4 sets), complete the following as quickly as possible:; Run 800 Meters; 15 Strict Handstand Push-Ups or L-Seated DB Presses; 15 Strict Pull-Ups; 15 Strict Ring Dips; B.; Every minute, on the minute, for 6 minutes:; Minute 1 ? Lean Away Pull-Ups x 3-4 reps @ 4111; Minute 2 ? Bottom?s Up Kettlebell Carry x 25 yards each arm"
46,"Complete as many rounds and reps as possible in 20 minutes of:; 16 Alternating Reverse Lunges*; 8 Burpees; 8 Strict Pull-Ups; *For the alternating reverse lunges, load these either with a front-racked barbell, or opt for dumbbells or kettlebells held in a farmer?s carry by the sides"
47,"Workout of the Day; For the 2015 Open season, Invictus Athletes? Camp coach Heidi Fearon will be creating a unique guided visualization for each week of the Open. Each visualization will be specifically tailored to the Open event and available for download by Friday morning.; You?ll be able to purchase each visualization individually for only $5.99 each, starting with 15.1: Invictus 15.1 Guided Visualization; Or you can purchase all 5 visualizations (a $29.95 value) for only $19.97: Invictus 2015 Open Guided Visualization Bundle; CrossFit Games Open 15.1; Complete as many rounds and reps as possible in 9 minutes of:; 15 Toes to Bars; 10 Deadlifts (115/75 lbs); 5 snatches (115/75 lbs); When the clock hits 9:00?; Against a 6-minute running clock, find your 1-RM Clean and Jerk; OR?; CrossFit Games Open 15.1 ? Scaled Division; Complete as many rounds and reps as possible in 9 minutes of:; 15 hanging knee raises; 10 deadlifts (85/55 lbs); 5 snatches* (85/55 lbs); *ground-to-overhead allowed; When the clock hits 9:00?; Against a 6-minute running clock, find your 1-RM Clean and Jerk"
48,"Four rounds for max reps of:; 60 seconds of Kettlebell Swings (32/24 kg); Rest 60 seconds; 60 seconds of Push-Ups; Rest 60 seconds; 60 seconds of Box Jump-Overs (24?/20?); Rest 60 seconds; 60 seconds of Push Press (115/75 lbs); Rest 60 seconds; Perform in teams of two, one partner working for the full 60 seconds, then resting and supporting their teammate for 60 seconds. Track scores either individually or as a team"
49,"In teams of three, alternating complete rounds, complete as many rounds and reps as possible in 15 minutes of:; 7 Burpee Box Jump-Overs; 7 Thrusters; 7 Strict Pull-Ups; Rest until the running clock reaches 20:00, and then?; In teams of two, alternating complete rounds, complete as many rounds and reps as possible in 15 minutes of:; 9 Burpee Box Jump-Overs; 9 Push Press; 9 Ring Dips"
50,"A.; Every minute, on the minute, for 20 minutes, rotate through the following until you?ve completed five sets of each:; Minute 1 ? Back Squat x 6 reps @ 3011; Minute 2 ? Alternating Reverse Lunges with DBs/KBs x 12 reps; Minute 3 ? Hollow Rock or Hold x 30-40 seconds; Minute 4 ? Bat Wings x 5 reps @ 1215; (hold KBs/DBs in the top position for 5 full second each rep); B.; Three rounds for time of:; Run 400 Meters; 30 Kettlebell Swings; 15 Thrusters"
51,"Workout of the Day; A.; Four sets of:; Turkish Get-Ups x 3 reps each arm; Rest 90 seconds; L-Sit Tuck to Extension x 7-10 reps; (extend the legs for 2-5 seconds, pull them in for 2-5 seconds and repeat); Rest 90 seconds; B.; Every minute, on the minute, for 10 minutes:; 10 Alternating Reverse Lunges (with Dumbbells if you?re brave); 10 Sit-Ups"
52,"Workout of the Day; Run 6.5 kilometers; (If you?re an American, that?s just over 4 miles.); If you?re wondering why we chose that distance . . . well, it just happens to be the distance that we mapped out and ran as a group on Friday night. If you?d like to run 6.7 or 6.3 miles, I won?t judge you. But if you live in San Diego, the map of our run route is posted on the blog"
53,A.; Three sets of:; Front Squat x 6-8 reps; Rest 60 seconds; Row 250 Meters; Rest 60 seconds; Plank to Elbows x 8-10 reps; Rest 60 seconds; B.; Complete as many rounds and reps as possible in 6 minutes of:; 3 Dumbbell Ground to Overhead; 3 Burpees; 6 Dumbbell Ground to Overhead; 6 Burpees; 9 Dumbbell Ground to Overhead; 9 Burpees; 12 Dumbbell Ground to Overhead; 12 Burpees; ?; C.; Three sets of:; Single Arm Row x 10-12 reps each arm @ 2110
54,"DON?T FORGET . . . The 2012 Look Good, Feel Good Challenge begins tomorrow! There is still time to register. Do it, and tackle your goals for 2012.; Workout of the Day; In teams of two, partners alternate to complete four sets each of:; Run 400 Meters; Dumbbell Man-Makers x 10 reps"
55,"A.; Three sets of:; Deadlift x 6-8 reps; Rest 45 seconds; Alternating Reverse Lunges x 20 steps; Rest 45 seconds; Dumbbell Bench Press x 10-12 reps; Rest 45 seconds; B.; Every minute, on the minute, for 15 minutes:; Minute 1 ? 15 Kettlebell Swings; Minute 2 ? 200 Meter Run; Minute 3 ? 20/10 Push-Ups; C.; Every minute, on the minute, for 6 minutes:; Minute 1 ? Lean Away Pull-Ups x 3-4 reps @ 4111; Minute 2 ? Bottom?s Up Kettlebell Carry x 25 yards each arm"
56,A.; Three sets of:; Push Press x 6-8 reps; Rest 60 seconds; Side Plank x 30-45 seconds each side; Rest 60 seconds; Single Leg Hip Bridge x 6-8 reps each leg @ 3011; Rest 60 seconds; B.; For time:; 21 Burpees; 15 Thrusters; 9 Strict Pull-Ups; 800 Meter Run; 9 Strict Pull-Ups; 15 Thrusters; 21 Burpees
57,Workout of the Day; A.; Three sets of:; Push Press x 6-8 reps; Rest 60 seconds; Side Plank x 30-45 seconds each side; Rest 60 seconds; Single Leg Hip Bridge x 6-8 reps each leg @ 3011; Rest 60 seconds; B.; For time:; 21 Burpees; 15 Thrusters; 9 Pull-Ups; 800 Meter Run; 9 Pull-Ups; 15 Thrusters; 21 Burpees
58,Workout of the Day; A.; Three sets of:; Kneeling Kettlebell Halos x 3-5 reps each direction; Rest 45 seconds; Overhead Squat x 6-8 reps; Rest 45 seconds; Dumbbell Renegade Rows x 5 reps; Rest 45 seconds; B.; Three rounds for time of:; 15 Strict Handstand Push-Ups or Seated DB Presses; 20 Alternating Front Racked Reverse Lunges; C.; Eight sets of:; 20 seconds of Hollow Rocks or Holds; Rest 10 seconds
59,"Complete as many rounds and reps as possible in 3 minutes of:; 10 Single-Arm Dumbbell Snatches; 5 Burpee Box Jump-Overs; 5 Toes to Bar; Rest 3 minutes between sets, and complete a total of five sets"
60,Workout of the Day; Five sets of:; Kettlebell Swings x 20 reps; Rest 45 seconds; Turkish Get-Up x 2 reps each arm; Rest 45 seconds; Push-ups x 12-15 reps @ 2010; Rest 45 seconds; Side Planks x 30-45 seconds each side; Rest 45 seconds
61,Workout of the Day; A.; Four sets of:; Pull-Ups x 6-8 reps @ 2110; Rest 45 seconds; Dumbbell Bench Press x 10-12 reps; Rest 45 seconds; Partnered Leg Tosses x 12-15 reps; Rest 45 seconds; B.; Three sets for max reps/calories:; 60 seconds Row for calories; 30 seconds Rest; 60 seconds Kettlebell Swings; 30 seconds Rest; 60 seconds Renegade Rows; 30 seconds Rest
62,Workout of the Day; A.; Four sets of:; Alternating Reverse Lunges with Dumbbells x 10 reps each leg; Rest 45 seconds; Ring Row x 10-12 reps @ 2111; Rest 45 seconds; Ab Wheel Roll-Out x 6-8 reps @ 3011; Rest 45 seconds; B.; Complete as many rounds and reps as possible in 10 minutes of:; Push-Ups x 5 reps; Goblet Squats x 10 reps; Kettlebell Swings x 15 reps; 100 Meter run
63,"Workout of the Day; Four sets of:; Dumbbell Walking Lunges x 20 steps @ 1010; Rest 45 seconds; Plank Hold x 45 seconds; Rest 45 seconds; Strict Pull-Ups x 8-10 reps (partner assisted preferred to band); Rest 45 seconds;; and then,; As many rounds and reps as possible in 10 minutes of:; Push-Ups x 5 reps; Kettlebell Swings x 10 reps; 100 Meter Run"
64,Workout of the Day; ?Miracle Mile?; Sprint 400 meters; 25 x Kettlebell Swings; Farmer?s Walk with heavy dumbbells the East and West sides of the block; Waiter?s Walk with heavy dumbbells the South and North sides of the block; 25 x Box Jumps; Sprint the East and West sides of the block; Walking Lunges on the South and North sides of the block; Burpees x 25; Sprint 400 meters with 20 lb. Medicine Ball
65,Workout of the Day; A.; Five sets of:; Weighted Pull-Ups x 2 reps; Rest 30 seconds; immediately followed by?; Five sets of:; 30 seconds of Strict Supinated-Grip Pull-Ups x Max reps; Rest 30 seconds; B.; Against a 4-minute running clock:; 500 Meter Row; 15 Box Jump Overs; Mountain Climbers x Max reps; Rest 4 minutes and complete three sets
66,"In teams of two, with only one person working at a time, complete:; 100 Kettlebell Swings (32/24 kg); 400 Meter Run*; 100 Barbell Thrusters (45 lbs); 400 Meter Run; 80 Burpees; 400 Meter Run; 100 Barbell Thrusters; 400 Meter Run; 100 Kettlebell Swings; *Both athletes perform the run at the same time"
67,"Workout of the Day; A.; Four sets of:; Strict Supinated-Grip Pull-Ups x 4-6 reps @ 21X1 (add weight if possible); Rest 60 seconds; Lateral Lunge x 8-10 reps each leg @ 2111; Rest 60 seconds; Side Planks x 30 seconds each side; Rest 60 seconds; B.; In teams of two, alternate rounds to complete five sets each for time of:; 15 Wall Ball Shots; 15 Calorie Row"
68,Workout of the Day; A.; Five sets of:; Back Squat x 10 reps @ 30X0; Rest 30 seconds; Single Arm Dumbbell Rows x 10 reps each arm @ 2111; Rest 30 seconds; Heavy Kettlebell Swings x 10 reps; Rest 30 seconds; Dumbbell Shoulder Press x 10 reps @ 20X1; Rest 2 minutes
69,"Workout of the Day; In teams of three, complete five rounds each for time of:; Row 500 Meters; 25 Goblet Squats or Double-Kettlebell Front Squats; 5 Wall Climbs; Each team member will start at a different station and may not rotate to the next station until all team members have completed their reps/row. Use as much weight as possible on the squats, but aim to finish in 90-120 seconds"
70,"Workout of the Day; A.; Every two minutes, for 20 minutes (5 sets of each):; Interval 1 ? Alternating Reverse Lunges with Kettlebells x 20 reps; Interval 2 ? Strict Shoulder Press with Kettlebells or Dumbbells x 10 reps; B.; For max reps/calories:; 2 Minutes of Assault Bike (for calories); 2 Minutes of Strict Pull-Ups; 2 Minutes of Push-Ups; 2 Minutes of Air Squats"
71,Workout of the Day; A.; Five sets of:; Front Squat x 6 reps @ 2011; Rest 45 seconds; L-Seated Dumbbell Press x 8 reps @ 2011; Rest 45 seconds; B.; Five rounds for time of:; 6 Strict Pull-Ups; 8 Burpees; 12 Wall Ball Shots
72,"Workout of the Day; A.; Every minute, for 18 minutes:; Minute 1 ? 2 Turkish Get-Ups (alternate arms, perform slow and controlled ? each rep should take close to 10 seconds or more); Minute 2 ? Single-Leg Deadlift x 6 reps each leg @ 2011; Minute 3 ? Seated Strict Press x 8 reps @ 2011; B.; Three sets for max reps of:; 60 seconds of Kettlebell Swings; 60 seconds of Goblet Squats; 60 seconds of Rest"
73,"A.; Every 2 minutes, for 10 minutes (5 sets):; Back Squat x 8 reps; (try to perform with the same load or greater than was used last Thursday); B.; For time:; 40 Wall Ball Shots; 400 Meter Run; 40 Burpees; 400 Meter Run; 40 Wall Ball Shots"
74,Workout of the Day; A.; Four sets of:; Front Squat (Barbell or Dumbell) x 8-10 reps @ 3011; Rest 45 seconds; Strict Pull-Ups x 8-10 reps (partner or band assisted) @ 2110; Rest 45 seconds; Plank Hold x 45 seconds; Rest 45 seconds; B.; Complete as many rounds and reps as possible in 6 minutes of:; Thrusters x 3 reps; Burpees x 6 reps; Box Jumps x 9 reps
75,"A.; Every 2 minutes, for 16 minutes (4 sets of each):; Station 1 ? 2 Weighted Pull-Ups + 4 Strict Pronated + 6 Supinated-Grip Pull-Ups; (if you?re still working on your first pull-ups, try 2-3 slow negatives + 5-6 Band Assisted Strict Pull-Ups); Station 2 ? Bench Press x 8 reps @ 20X1; B.; For time:; Row 1000 Meters; 20 Strict Handstand Push-Ups; 30 Ring Dips; 40 Push-Ups"
76,"Workout of the Day; A.; Five sets of:; Kettlebell Swings x 20 reps; Rest 45 seconds; Single-Arm Shoulder Press x 6-8 reps each arm; Rest 45 seconds; Alternating Lateral Lunge x 8-10 reps each leg; Rest 45 seconds; B.; In teams of two, with only one partner working at a time, complete as many rounds as possible in 12 minutes of:; Row 250 Meters; 10 Burpees; 20 Jumping Lunges"
77,"Workout of the Day; A.; Every minute on the minute for 15 minutes (5 sets):; Station 1 ? Romanian Deadlift x 6-8 reps @ 20X1; Station 2 ? Alternating Reverse Lunges x 10 reps; (perform these as heavy as possible); Station 3 ? Single-Arm DB Press x 6 each arm; B.; Every minute on the minute for 15 minutes:; 5 Renegade Rows; (Push-Up, Row Left, Push-Up, Row Right); 5 Burpees; If you fail to complete the round within the minute, finish all of the repetitions and then sit out the minute in which you carried over into. Restart at the top of the following minute.; C. Every 2 mintues, for 10 minutes (5 sets):; 100 meter Farmer?s Carry (as heavy as possible"
78,"REMINDER: Please submit your Open 15.1 scores before 5:00pm PDT time TONIGHT!***; Workout of the Day; A.; Four sets of:; Single Arm Press x 8-10 reps each arm; Rest 2-3 minutes; B.; Complete as many rounds and reps as possible in 10 minutes of:; 10 Push Presses (95/65 lbs); 10 Alternating Overhead Reverse Lunges (95/65 lbs); 10 Burpees Over the Barbell; C.; Every minute, on the minute, for 6 minutes:; Minute 1 ? Lean Away Pull-Ups x 3-4 reps @ 4111; Minute 2 ? Bottom?s Up Kettlebell Carry x 25 yards each arm"
79,"A.; Every 90 seconds, for 18 minutes (4 sets of each):; Station 1 ? Romanian Deadlift (with DBs or BB) x 6 reps @ 3011; (stick to the tempo ? 3 second descent); Station 2 ? Supine Ring Row x 8 reps @ 2111; (get as horizontal as possible); Station 3 ? L-Seated Dumbbell Press x 8 reps @ 2111; (increase load from last Monday?s sets of 10 reps); B.; Three rounds for time of:; 5 Renegade Rows; 10 Strict Pull-Ups; 20 Walking Lunges with DBs; (use the same weight DB as you choose for Renegade Rows); Renegade Row = Push-Up, Row Left, Push-Up, Row Right"
80,"Workout of the Day; A.; Four sets of:; Single-Arm Press (Kettlebell or Dumbbell) x 6-8 reps each arm; Rest 45 seconds; Kettlebell Swings x 20 reps; Rest 45 seconds; Side Planks x 30-45 seconds each side; Rest 45 seconds; B.; In teams of two, partners will alternate rounds to complete 8 rounds each of:; Push Press x 10 reps; Toes to Bar x 10 reps"
81,"Workout of the Day; In teams of three, perform three rounds each for time of:; Row 800 Meters; Run 400 Meters; 20 Toes to Bar; Teammates roll through this in congo-line fashion, jumping onto the Concept 2 erg as soon as the teammate in front of them is off and has begun the 400 meter run"
82,Workout of the Day; A.; Four sets of:; Push Press x 8-10 reps; Rest 30 seconds; Alternating Dumbbell Lunge x 10 reps each leg @ 1010; Rest 30 seconds; Partnered Leg Tosses x 15-20 reps; Rest 30 seconds; B.; Three sets of:; Row 300 Meters; Man-Makers x 10 reps; Rest 3 minutes
83,"Workout of the Day; Four rounds for max reps of:; 60 seconds of Kettlebell Swings (32/24 kg); Rest 60 seconds; 60 seconds of Push-Ups; Rest 60 seconds; 60 seconds of Box Jump-Overs (24?/20?); Rest 60 seconds; 60 seconds of Push Press (115/75 lbs); Rest 60 seconds; Perform in teams of two, one partner working for the full 60 seconds, then resting and supporting their teammate for 60 seconds. Track scores either individually or as a team"
84,"REMINDER: Please submit your Open 15.2 scores before 5:00pm PDT time TONIGHT!***; Workout of the Day; A.; Every 2 minutes, for 10 minutes (5 sets):; Back Squat x 8 reps; (try to perform with the same load or greater than was used last Thursday); B.; For time:; 40 Wall Ball Shots; 400 Meter Run; 40 Burpees; 400 Meter Run; 40 Wall Ball Shots"
85,Workout of the Day; Three sets for max reps of:; 60 seconds of Wall Ball Shots (20/12 lbs); 60 seconds of Push Press (75/55 lbs); 60 seconds of Kettlebell Swings (24/16 kg); 60 seconds of Rowing for Calories; Rest 60 seconds
86,"A.; Three sets of:; Romanian Deadlift x 8 reps @ 3011; Rest 60 seconds; Single-Leg Hip Bridge x 12 reps each side @ 2011; Rest 60 seconds; Single-Arm Dumbbell Row x 10 reps @ 2111; Rest 60 seconds; B.; Every 90 seconds, for 15 minutes (10 sets):; 12 Russian Kettlebell Swings (heavy); 12 Hand-Release Push-Ups; C.; Two sets of:; Supine Ring Rows x 10 reps @ 2111; Rest 60 seconds; Hollow Hold or Rock x 60 seconds; Rest 60 seconds"
87,"Workout of the Day; A.; Every three minutes, for 12 minutes:; Alternating Reverse Lunges with Dumbbells x 20 reps; Mixed-Grip Strict Pull-Ups x 6-8 reps; B.; Five rounds for time of:; 15 Wall Ball Shots; 10 Toes to Bar; 5 Burpees; C.; Accumulate two minutes in each of the following positions:; Couch Stretch (Left Leg); Couch Stretch (Right Leg); Pigeon Stretch (Left Leg Forward); Pigeon Stretch (Right Leg Forward"
88,"Workout of the Day; A.; Take 10 minutes to build to a heavy-ish Front Squat, and then?; Every 3 minutes, for 15 minutes (5 sets) of:; Front Squat x 3-5 reps @ 30X1; B.; Every minute, on the minute, for 15 minutes (5 sets each):; Minute 1 ? 10 Ring Dips; Minute 2 ? 10 Toes to Bar; Minute 3 ? 15 Kettlebell Swings; C.; Three sets of:; Supine Ring Rows x 10 reps @ 2111; Rest 30 seconds; Side Plank x 45 seconds each side; Rest 30 seconds"
89,"Workout of the Day; A.; Five sets of:; Bent-Over Barbell Row x 6-8 reps @ 21X0; Rest 45 seconds; Single-Leg Glute Bridges x 12-15 reps each leg @ 2011; Rest 45 seconds; Wall Climbs x 2-4 reps; Rest 45 seconds; B.; In teams of two, alternating full rounds, complete a total of five rounds each for time of:; Row 250 meters; 10 Dumbbell Thrusters"
90,Workout of the Day; A.; Four sets of:; Bulgarian Split Squat x 6-8 reps each leg @ 30X0; Rest 60 seconds; Plank Hold x 60 seconds; Rest 60 seconds; B.; Five rounds for time of:; Dumbbell Complex* x 5 reps; Toes to Bar x 10 reps; *One rep of the Dumbbell Complex =; Start from the plank with dumbbells in hands; Right Arm Row; Push-Up; Left Arm Row; Push-Up; Jump to standing; Dumbbell Clean; Front Squat x 2 reps; Push Press x 2 reps
